"Localidades";"Períodos";"População de 0 a 3 Anos";"Cód. IBGE"
"Ipiranga";"2017";"5232";
"Itaim Bibi";"2006";"3217";
"Itaim Bibi";"2007";"3275";
"Itaim Bibi";"2008";"3333";
"Itaim Bibi";"2009";"3390";
"Itaim Bibi";"2010";"3441";
"Itaim Bibi";"2011";"3609";
"Itaim Bibi";"2012";"3778";
"Itaim Bibi";"2013";"3952";
"Itaim Bibi";"2014";"4122";
"Itaim Bibi";"2015";"4293";
"Itaim Bibi";"2016";"4146";
"Itaim Bibi";"2017";"3998";
"Itaim Paulista";"2006";"15318";
"Itaim Paulista";"2007";"14808";
"Itaim Paulista";"2008";"14311";
"Itaim Paulista";"2009";"13818";
"Itaim Paulista";"2010";"13353";
"Itaim Paulista";"2011";"13664";
"Itaim Paulista";"2012";"13970";
"Itaim Paulista";"2013";"14270";
"Itaim Paulista";"2014";"14569";
"Itaim Paulista";"2015";"14860";
"Itaim Paulista";"2016";"14626";
"Itaim Paulista";"2017";"14390";
"Itaquera";"2006";"13114";
"Itaquera";"2007";"12650";
"Itaquera";"2008";"12187";
"Itaquera";"2009";"11735";
"Itaquera";"2010";"11305";
"Itaquera";"2011";"11608";
"Itaquera";"2012";"11909";
"Itaquera";"2013";"12210";
"Itaquera";"2014";"12509";
"Itaquera";"2015";"12807";
"Itaquera";"2016";"12524";
"Itaquera";"2017";"12238";
"Jabaquara";"2006";"11995";
"Jabaquara";"2007";"11718";
"Jabaquara";"2008";"11450";
"Jabaquara";"2009";"11180";
"Jabaquara";"2010";"10914";
"Jabaquara";"2011";"11236";
"Jabaquara";"2012";"11558";
"Jabaquara";"2013";"11885";
"Jabaquara";"2014";"12212";
"Jabaquara";"2015";"12543";
"Jabaquara";"2016";"12194";
"Jabaquara";"2017";"11844";
"Jaguara";"2006";"1133";
"Jaguara";"2007";"1102";
"Jaguara";"2008";"1071";
"Jaguara";"2009";"1041";
"Jaguara";"2010";"1018";
"Jaguara";"2011";"1058";
"Jaguara";"2012";"1096";
"Jaguara";"2013";"1139";
"Jaguara";"2014";"1180";
"Jaguara";"2015";"1221";
"Jaguara";"2016";"1181";
"Jaguara";"2017";"1140";
"Jaguaré";"2006";"2729";
"Jaguaré";"2007";"2691";
"Jaguaré";"2008";"2652";
"Jaguaré";"2009";"2613";
"Jaguaré";"2010";"2571";
"Jaguaré";"2011";"2661";
"Jaguaré";"2012";"2749";
"Jaguaré";"2013";"2840";
"Jaguaré";"2014";"2928";
"Jaguaré";"2015";"3019";
"Jaguaré";"2016";"2953";
"Jaguaré";"2017";"2886";
"Jaraguá";"2006";"11207";
"Jaraguá";"2007";"11050";
"Jaraguá";"2008";"10882";
"Jaraguá";"2009";"10710";
"Jaraguá";"2010";"10507";
"Jaraguá";"2011";"10993";
"Jaraguá";"2012";"11485";
"Jaraguá";"2013";"11985";
"Jaraguá";"2014";"12491";
"Jaraguá";"2015";"13003";
"Jaraguá";"2016";"12858";
"Jaraguá";"2017";"12705";
"Jardim Ângela";"2006";"20961";
"Jardim Ângela";"2007";"20628";
"Jardim Ângela";"2008";"20283";
"Jardim Ângela";"2009";"19942";
"Jardim Ângela";"2010";"19577";
"Jardim Ângela";"2011";"20094";
"Jardim Ângela";"2012";"20604";
"Jardim Ângela";"2013";"21110";
"Jardim Ângela";"2014";"21612";
"Jardim Ângela";"2015";"22104";
"Jardim Ângela";"2016";"21843";
"Jardim Ângela";"2017";"21567";
"Jardim Helena";"2006";"9715";
"Jardim Helena";"2007";"9306";
"Jardim Helena";"2008";"8911";
"Jardim Helena";"2009";"8535";
"Jardim Helena";"2010";"8194";
"Jardim Helena";"2011";"8487";
"Jardim Helena";"2012";"8784";
"Jardim Helena";"2013";"9084";
"Jardim Helena";"2014";"9382";
"Jardim Helena";"2015";"9686";
"Jardim Helena";"2016";"9473";
"Jardim Helena";"2017";"9261";
"Jardim Paulista";"2006";"2566";
"Jardim Paulista";"2007";"2589";
"Jardim Paulista";"2008";"2612";
"Jardim Paulista";"2009";"2637";
"Jardim Paulista";"2010";"2656";
"Jardim Paulista";"2011";"2834";
"Jardim Paulista";"2012";"3017";
"Jardim Paulista";"2013";"3204";
"Jardim Paulista";"2014";"3397";
"Jardim Paulista";"2015";"3595";
"Jardim Paulista";"2016";"3512";
"Jardim Paulista";"2017";"3424";
"Jardim São Luís";"2006";"16691";
"Jardim São Luís";"2007";"16269";
"Jardim São Luís";"2008";"15851";
"Jardim São Luís";"2009";"15433";
"Jardim São Luís";"2010";"15029";
"Jardim São Luís";"2011";"15650";
"Jardim São Luís";"2012";"16275";
"Jardim São Luís";"2013";"16908";
"Jardim São Luís";"2014";"17548";
"Jardim São Luís";"2015";"18187";
"Jardim São Luís";"2016";"17823";
"Jardim São Luís";"2017";"17445";
"Jaçanã";"2006";"5505";
"Jaçanã";"2007";"5363";
"Jaçanã";"2008";"5222";
"Jaçanã";"2009";"5088";
"Jaçanã";"2010";"4957";
"Jaçanã";"2011";"4970";
"Jaçanã";"2012";"4987";
"Jaçanã";"2013";"4996";
"Jaçanã";"2014";"5007";
"Jaçanã";"2015";"5010";
"Jaçanã";"2016";"4934";
"Jaçanã";"2017";"4858";
"José Bonifácio";"2006";"7160";3525706
"José Bonifácio";"2007";"7111";3525706
"José Bonifácio";"2008";"7068";3525706
"José Bonifácio";"2009";"7015";3525706
"José Bonifácio";"2010";"6946";3525706
"José Bonifácio";"2011";"6928";3525706
"José Bonifácio";"2012";"6908";3525706
"José Bonifácio";"2013";"6881";3525706
"José Bonifácio";"2014";"6845";3525706
"José Bonifácio";"2015";"6806";3525706
"José Bonifácio";"2016";"6763";3525706
"José Bonifácio";"2017";"6716";3525706
"Lajeado";"2006";"11968";
"Lajeado";"2007";"11549";
"Lajeado";"2008";"11136";
"Lajeado";"2009";"10735";
"Lajeado";"2010";"10365";
"Lajeado";"2011";"10626";
"Lajeado";"2012";"10885";
"Lajeado";"2013";"11140";
"Lajeado";"2014";"11400";
"Lajeado";"2015";"11652";
"Lajeado";"2016";"11482";
"Lajeado";"2017";"11308";
"Lapa";"2006";"2330";
"Lapa";"2007";"2352";
"Lapa";"2008";"2373";
"Lapa";"2009";"2391";
"Lapa";"2010";"2411";
"Lapa";"2011";"2498";
"Lapa";"2012";"2586";
"Lapa";"2013";"2677";
"Lapa";"2014";"2764";
"Lapa";"2015";"2857";
"Lapa";"2016";"2768";
"Lapa";"2017";"2686";
"Liberdade";"2006";"2614";
"Liberdade";"2007";"2593";
"Liberdade";"2008";"2568";
"Liberdade";"2009";"2544";
"Liberdade";"2010";"2518";
"Liberdade";"2011";"2704";
"Liberdade";"2012";"2899";
"Liberdade";"2013";"3100";
"Liberdade";"2014";"3312";
"Liberdade";"2015";"3530";
"Liberdade";"2016";"3412";
"Liberdade";"2017";"3292";
"Limão";"2006";"4291";
"Limão";"2007";"4159";
"Limão";"2008";"4029";
"Limão";"2009";"3900";
"Limão";"2010";"3782";
"Limão";"2011";"4005";
"Limão";"2012";"4234";
"Limão";"2013";"4474";
"Limão";"2014";"4718";
"Limão";"2015";"4970";
"Limão";"2016";"4812";
"Limão";"2017";"4652";
"Mandaqui";"2006";"5108";
"Mandaqui";"2007";"4962";
"Mandaqui";"2008";"4822";
"Mandaqui";"2009";"4679";
"Mandaqui";"2010";"4538";
"Mandaqui";"2011";"4691";
"Mandaqui";"2012";"4846";
"Mandaqui";"2013";"5001";
"Mandaqui";"2014";"5162";
"Mandaqui";"2015";"5321";
"Mandaqui";"2016";"5189";
"Mandaqui";"2017";"5057";
"Marsilac";"2006";"616";
"Marsilac";"2007";"580";
"Marsilac";"2008";"549";
