DISTRITO;MAT_CRECHE;MAT_PRE_ESCOLA;MAT_FUND_I;MAT_FUND_II;MAT_EJA_I;MAT_EJA_II;MAT_ENS_MED;MAT_ED_PROF;MAT_PROC_CRECHE;MAT_PROC_PRE_ESC;DEM_CRECHE;DEM_PRE;DEM_FUND_I;DEM_FUND_II;DEM_EJA_I;DEM_EJA_II;DEM_PREF_CRECHE;DEM_PREF_PRE;MES_ANO_REF
JARDIM SAO LUIS;5.985;4.798;5.769;6.257;347;1.145;0;0;12;5;6.369;280;0;0;0;0;39;1;set-11
JOSE BONIFACIO;2.613;2.606;2.544;2.855;33;381;0;0;8;2;1.467;15;0;0;0;0;5;0;set-11
LAJEADO;7.667;4.353;3.285;3.653;196;1.092;0;0;74;11;1.677;174;0;0;0;0;42;0;set-11
LAPA;268;927;0;0;0;0;0;0;0;2;377;0;0;0;0;0;0;0;set-11
LIBERDADE;756;210;267;326;0;0;0;0;0;0;500;0;0;0;0;0;4;0;set-11
LIMAO;680;1.107;772;734;35;121;0;0;0;0;839;0;0;0;0;0;3;0;set-11
MANDAQUI;1.545;1.558;1.467;1.916;163;400;0;0;0;3;1.445;15;0;0;0;0;1;0;set-11
MARSILAC;93;63;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;set-11
MOEMA;340;468;337;219;0;0;0;0;0;0;176;3;0;0;0;0;0;0;set-11
MOOCA;782;580;260;315;62;103;0;0;5;1;328;1;0;0;0;0;2;0;set-11
MORUMBI;566;334;375;559;53;117;0;0;0;0;434;1;0;0;0;0;0;0;set-11
PARELHEIROS;4.253;3.383;2.897;2.095;216;976;0;0;2;9;2.535;289;0;0;0;0;108;5;set-11
PARI;347;178;270;347;0;0;0;0;0;0;288;11;0;0;0;0;4;2;set-11
PARQUE DO CARMO;1.697;1.101;575;776;0;33;0;0;5;1;759;5;0;0;0;0;4;0;set-11
PEDREIRA;2.482;2.142;3.406;4.344;117;991;0;0;8;8;3.231;658;0;0;0;0;5;2;set-11
PENHA;1.790;803;308;306;0;0;0;0;11;0;1.159;5;0;0;0;0;10;0;set-11
PERDIZES;528;246;295;315;0;0;0;0;0;0;263;2;0;0;0;0;0;0;set-11
PERUS;1.606;2.141;3.966;4.005;174;768;0;0;5;5;2.066;0;0;0;0;0;4;0;set-11
PINHEIROS;361;256;325;371;0;0;0;0;5;1;324;2;0;0;0;0;0;0;set-11
PIRITUBA;1.767;2.305;2.957;3.870;306;967;339;0;11;2;2.184;25;0;0;0;0;3;3;set-11
PONTE RASA;993;1.274;1.971;2.821;68;483;0;0;4;7;1.176;85;0;0;0;0;3;1;set-11
RAPOSO TAVARES;2.604;2.483;3.777;4.208;143;712;0;0;1;6;1.990;4;0;0;0;0;2;0;set-11
REPUBLICA;17;277;0;0;0;0;0;0;0;1;39;2;0;0;0;0;0;1;set-11
RIO PEQUENO;2.277;2.007;2.838;3.293;140;397;0;0;12;2;1.862;2;0;0;0;0;8;0;set-11
SACOMA;4.719;4.105;4.849;5.689;381;1.132;0;0;13;6;3.730;12;0;0;0;0;19;1;set-11
SANTA CECILIA;1.329;477;0;0;0;0;0;0;11;0;900;5;0;0;0;0;2;0;set-11
SANTANA;1.204;654;964;1.437;0;128;1.076;602;3;0;913;4;0;0;0;0;0;1;set-11
SANTO AMARO;333;290;659;1.133;33;362;96;0;1;2;320;0;0;0;0;0;0;0;set-11
SAO DOMINGOS;833;1.060;2.386;2.833;79;266;0;0;1;3;1.261;0;0;0;0;0;0;0;set-11
SAO LUCAS;954;1.797;2.711;3.331;81;419;0;0;9;1;1.034;1;0;0;0;0;0;0;set-11
SAO MATEUS;2.686;2.858;3.114;3.759;237;1.408;0;0;1;1;2.366;39;0;0;0;0;2;0;set-11
SAO MIGUEL;2.095;1.747;2.982;3.882;163;955;319;0;15;5;1.342;52;0;0;0;0;11;1;set-11
SAO RAFAEL;3.142;4.066;4.566;4.844;299;955;0;0;5;4;3.435;8;0;0;0;0;20;1;set-11
SAPOPEMBA;5.651;5.529;8.260;9.560;528;1.628;341;0;30;7;4.798;23;0;0;0;0;7;0;set-11
SAUDE;795;566;249;310;69;199;0;0;2;2;627;4;0;0;0;0;0;0;set-11
SE;88;93;458;382;82;138;0;0;0;0;260;21;0;0;0;0;0;0;set-11
SOCORRO;549;762;883;1.318;71;280;0;0;0;1;214;7;0;0;0;0;0;0;set-11
TATUAPE;649;843;650;1.002;89;386;0;0;1;3;413;0;0;0;0;0;6;3;set-11
TREMEMBE;1.938;3.358;3.418;4.025;393;879;0;0;1;10;4.038;187;0;0;0;0;3;8;set-11
TUCURUVI;438;661;1.001;1.160;0;0;0;0;1;3;477;10;0;0;0;0;1;0;set-11
VILA ANDRADE;1.099;1.166;2.169;1.896;217;528;0;0;3;2;1.923;5;0;0;0;0;17;0;set-11
VILA CURUCA;3.186;3.898;5.365;6.206;0;622;0;0;25;7;2.572;289;0;0;0;0;10;1;set-11
VILA FORMOSA;1.205;1.366;746;909;0;95;0;0;7;1;755;11;0;0;0;0;2;0;set-11
VILA GUILHERME;713;712;875;968;46;74;0;0;0;1;320;22;0;0;0;0;7;0;set-11
VILA JACUI;3.046;3.732;3.605;4.205;113;268;0;0;15;6;2.666;12;0;0;0;0;19;0;set-11
VILA LEOPOLDINA;268;349;477;566;62;125;0;0;2;1;191;0;0;0;0;0;0;0;set-11
VILA MARIA;1.957;2.626;2.707;2.889;29;230;0;0;1;3;1.998;1;0;0;0;0;9;0;set-11
VILA MARIANA;556;656;252;235;0;0;0;0;0;1;527;3;0;0;0;0;2;0;set-11
VILA MATILDE;1.130;837;2.073;2.740;82;348;0;0;3;1;802;5;0;0;0;0;2;1;set-11
VILA MEDEIROS;2.527;1.850;1.556;1.900;319;884;0;0;2;0;1.675;111;0;0;0;0;8;7;set-11
VILA PRUDENTE;1.638;1.097;954;1.096;73;228;0;0;9;2;949;4;0;0;0;0;14;0;set-11
VILA SONIA;1.450;1.208;1.633;2.050;140;414;0;0;1;0;1.645;102;0;0;0;0;4;0;set-11
AGUA RASA;818;701;934;1.235;64;110;0;0;6;0;358;2;0;0;0;0;;;dez-11
ALTO DE PINHEIROS;368;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;;;dez-11
ANHANGUERA;1.077;1.536;2.816;3.070;117;404;0;0;18;3;968;3;0;0;0;0;;;dez-11
ARICANDUVA;1.299;764;1.421;1.884;60;192;0;0;7;0;407;11;0;0;0;0;;;dez-11
ARTUR ALVIM;2.093;2.074;2.058;2.416;0;88;0;0;22;0;866;8;0;0;0;0;;;dez-11
BARRA FUNDA;375;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;;;dez-11
BELA VISTA;1.271;771;361;451;0;342;0;0;15;2;148;0;0;0;0;0;;;dez-11
BELEM;900;515;332;285;0;0;0;0;20;0;162;3;0;0;0;0;;;dez-11
BOM RETIRO;826;690;0;0;0;0;0;0;118;4;220;9;0;0;0;0;;;dez-11
BRAS;653;409;0;0;0;0;0;0;10;0;449;8;0;0;0;0;;;dez-11
BRASILANDIA;7.305;6.323;7.919;8.484;414;2.053;0;0;478;4;2.765;123;0;0;0;0;;;dez-11
BUTANTA;574;679;1.080;1.451;245;636;0;0;11;0;129;1;0;0;0;0;;;dez-11
CACHOEIRINHA;2.603;2.303;2.832;3.039;114;592;0;0;142;11;1.457;1;0;0;0;0;;;dez-11
CAMBUCI;249;451;0;0;234;304;0;0;14;1;167;99;0;0;0;0;;;dez-11
CAMPO BELO;888;306;829;1.270;65;247;0;0;8;0;237;4;0;0;0;0;;;dez-11
CAMPO GRANDE;896;1.370;1.895;2.755;193;591;0;0;3;3;492;89;0;0;0;0;;;dez-11
CAMPO LIMPO;3.548;5.217;7.371;7.716;557;1.655;0;0;166;32;4.504;257;0;0;0;0;;;dez-11
CANGAIBA;2.064;2.715;1.779;2.467;136;610;0;0;34;0;1.954;56;0;0;0;0;;;dez-11
CAPAO REDONDO;3.671;5.052;8.556;8.709;886;2.198;0;0;185;28;5.694;1.138;0;0;0;0;;;dez-11
CARRAO;1.844;787;908;1.087;0;0;0;0;18;0;204;5;0;0;0;0;;;dez-11
CASA VERDE;791;1.009;1.055;1.183;57;237;0;0;139;7;452;0;0;0;0;0;;;dez-11
CIDADE ADEMAR;4.113;3.037;3.111;3.387;268;643;0;0;70;71;4.810;1.069;0;0;0;0;;;dez-11
CIDADE DUTRA;5.824;4.315;5.214;6.386;256;1.165;0;0;72;2;2.603;109;0;0;0;0;;;dez-11
CIDADE LIDER;2.617;2.822;2.725;3.161;355;1.092;0;0;58;7;784;20;0;0;0;0;;;dez-11
CIDADE TIRADENTES;9.014;6.288;10.991;11.878;285;1.498;492;0;298;1;518;33;0;0;0;0;;;dez-11
CONSOLACAO;400;418;0;0;0;0;0;0;2;1;137;2;0;0;0;0;;;dez-11
CURSINO;476;951;639;861;35;149;0;0;8;0;689;2;0;0;0;0;;;dez-11
ERMELINO MATARAZZO;1.681;2.084;1.205;1.481;167;492;0;0;33;3;1.105;20;0;0;0;0;;;dez-11
FREGUESIA DO O;2.413;2.717;2.610;2.609;103;419;0;0;120;7;803;11;0;0;0;0;;;dez-11
GRAJAU;8.207;7.257;6.695;6.574;392;1.726;0;0;91;12;5.582;1.463;0;0;0;0;;;dez-11
GUAIANASES;4.395;2.496;1.456;1.799;342;528;0;0;129;2;213;9;0;0;0;0;;;dez-11
IGUATEMI;2.690;3.644;6.230;6.599;206;780;0;0;50;6;2.015;29;0;0;0;0;;;dez-11
IPIRANGA;1.422;1.284;610;750;86;309;0;0;39;1;1.250;7;0;0;0;0;;;dez-11
ITAIM BIBI;339;376;447;652;21;183;0;0;8;0;127;1;0;0;0;0;;;dez-11
ITAIM PAULISTA;4.979;5.027;5.434;5.717;164;935;0;0;136;9;2.632;122;0;0;0;0;;;dez-11
ITAQUERA;5.309;4.102;2.672;3.064;132;617;0;0;110;8;1.182;7;0;0;0;0;;;dez-11
JABAQUARA;3.708;3.312;2.455;3.132;179;558;0;0;36;12;1.867;204;0;0;0;0;;;dez-11
JACANA;1.741;2.248;1.481;1.925;47;302;0;0;50;3;888;8;0;0;0;0;;;dez-11
JAGUARA;740;448;574;722;45;188;0;0;8;0;449;10;0;0;0;0;;;dez-11
JAGUARE;1.274;734;640;629;72;159;0;0;19;0;398;2;0;0;0;0;;;dez-11
JARAGUA;4.437;5.256;8.773;9.453;369;1.355;273;0;100;2;2.617;28;0;0;0;0;;;dez-11
JARDIM ANGELA;4.837;5.223;6.069;6.239;322;1.417;0;0;175;40;5.671;1.999;0;0;0;0;;;dez-11
JARDIM HELENA;3.018;3.203;4.828;5.178;80;945;0;0;75;5;1.775;45;0;0;0;0;;;dez-11
JARDIM PAULISTA;57;151;0;0;0;0;0;0;0;0;25;0;0;0;0;0;;;dez-11
JARDIM SAO LUIS;5.951;4.907;5.735;6.124;306;1.046;0;0;168;15;4.060;261;0;0;0;0;;;dez-11
JOSE BONIFACIO;2.582;2.499;2.542;2.838;31;337;0;0;50;4;670;5;0;0;0;0;;;dez-11
LAJEADO;7.555;4.387;3.258;3.599;189;924;0;0;163;7;700;155;0;0;0;0;;;dez-11
LAPA;273;917;0;0;0;0;0;0;16;0;180;1;0;0;0;0;;;dez-11
LIBERDADE;748;208;269;325;0;0;0;0;1;0;180;1;0;0;0;0;;;dez-11
LIMAO;677;1.276;767;697;35;107;0;0;34;2;401;1;0;0;0;0;;;dez-11
MANDAQUI;1.537;1.581;1.450;1.892;150;382;0;0;37;3;810;18;0;0;0;0;;;dez-11
MARSILAC;93;63;0;0;0;0;0;0;4;0;5;0;0;0;0;0;;;dez-11
MOEMA;344;469;333;211;0;0;0;0;4;0;78;3;0;0;0;0;;;dez-11
MOOCA;784;571;259;307;47;101;0;0;13;0;144;1;0;0;0;0;;;dez-11
MORUMBI;563;333;346;510;42;73;0;0;4;0;231;1;0;0;0;0;;;dez-11
PARELHEIROS;4.264;3.403;2.869;2.061;189;854;0;0;21;2;1.629;192;0;0;0;0;;;dez-11
PARI;342;176;255;339;0;0;0;0;7;0;177;6;0;0;0;0;;;dez-11
PARQUE DO CARMO;1.686;1.124;565;762;0;35;0;0;25;0;345;0;0;0;0;0;;;dez-11
PEDREIRA;2.464;2.126;3.377;4.274;77;724;0;0;22;17;2.405;411;0;0;0;0;;;dez-11
PENHA;1.840;787;307;305;0;0;0;0;12;0;628;0;0;0;0;0;;;dez-11
PERDIZES;527;240;293;313;0;0;0;0;4;1;120;0;0;0;0;0;;;dez-11
PERUS;1.601;2.133;3.937;3.972;166;777;0;0;47;1;812;11;0;0;0;0;;;dez-11
PINHEIROS;362;251;326;365;0;0;0;0;28;0;150;3;0;0;0;0;;;dez-11
PIRITUBA;1.770;2.317;2.961;3.812;272;924;307;0;104;1;882;18;0;0;0;0;;;dez-11
PONTE RASA;993;1.267;1.956;2.765;48;362;0;0;17;3;764;34;0;0;0;0;;;dez-11
RAPOSO TAVARES;2.592;2.480;3.736;4.164;134;618;0;0;95;1;840;7;0;0;0;0;;;dez-11
REPUBLICA;16;272;0;0;0;0;0;0;4;1;31;16;0;0;0;0;;;dez-11
RIO PEQUENO;2.267;2.003;2.799;3.236;140;367;0;0;64;3;902;2;0;0;0;0;;;dez-11
SACOMA;4.697;4.114;4.795;5.551;295;834;0;0;95;1;2.052;13;0;0;0;0;;;dez-11
SANTA CECILIA;1.327;472;0;0;0;0;0;0;111;0;383;6;0;0;0;0;;;dez-11
SANTANA;1.187;668;961;1.429;0;95;1.047;445;46;0;542;8;0;0;0;0;;;dez-11
SANTO AMARO;328;290;653;1.118;33;290;94;0;0;2;187;0;0;0;0;0;;;dez-11
SAO DOMINGOS;828;1.073;2.374;2.781;64;230;0;0;21;1;560;0;0;0;0;0;;;dez-11
SAO LUCAS;955;1.791;2.714;3.294;66;368;0;0;56;7;538;1;0;0;0;0;;;dez-11
SAO MATEUS;2.662;2.836;3.087;3.698;252;1.270;0;0;35;10;1.564;29;0;0;0;0;;;dez-11
SAO MIGUEL;2.085;1.745;2.959;3.857;147;889;318;0;21;0;535;24;0;0;0;0;;;dez-11
SAO RAFAEL;3.115;4.066;4.544;4.765;245;690;0;0;130;7;1.778;12;0;0;0;0;;;dez-11
SAPOPEMBA;5.595;5.524;8.223;9.462;461;1.422;291;0;204;9;2.912;26;0;0;0;0;;;dez-11
SAUDE;815;579;249;307;69;188;0;0;13;2;294;11;0;0;0;0;;;dez-11
SE;88;91;452;377;77;114;0;0;0;1;186;10;0;0;0;0;;;dez-11
SOCORRO;544;765;878;1.301;61;260;0;0;1;0;72;10;0;0;0;0;;;dez-11
TATUAPE;645;829;627;984;56;364;0;0;11;0;229;3;0;0;0;0;;;dez-11
TREMEMBE;1.934;3.387;3.401;4.000;364;821;0;0;112;25;3.023;87;0;0;0;0;;;dez-11
TUCURUVI;438;647;1.002;1.156;0;0;0;0;17;1;272;5;0;0;0;0;;;dez-11
VILA ANDRADE;1.091;1.150;2.147;1.844;176;487;0;0;138;6;1.327;12;0;0;0;0;;;dez-11
VILA CURUCA;3.178;3.872;5.356;6.160;0;547;0;0;77;6;1.436;86;0;0;0;0;;;dez-11
VILA FORMOSA;1.191;1.348;741;889;0;97;0;0;17;1;499;7;0;0;0;0;;;dez-11
VILA GUILHERME;701;702;855;950;43;80;0;0;27;1;203;17;0;0;0;0;;;dez-11
VILA JACUI;3.030;3.719;3.554;4.108;109;206;0;0;95;3;1.087;18;0;0;0;0;;;dez-11
VILA LEOPOLDINA;268;347;471;555;55;119;0;0;9;0;83;0;0;0;0;0;;;dez-11
VILA MARIA;1.945;2.635;2.694;2.826;32;198;0;0;92;3;1.158;4;0;0;0;0;;;dez-11
VILA MARIANA;559;625;251;229;0;0;0;0;12;1;335;4;0;0;0;0;;;dez-11
VILA MATILDE;1.109;830;2.065;2.711;62;225;0;0;17;0;431;13;0;0;0;0;;;dez-11
VILA MEDEIROS;2.504;1.888;1.554;1.898;277;789;0;0;28;2;1.310;48;0;0;0;0;;;dez-11
VILA PRUDENTE;1.630;1.083;947;1.084;62;185;0;0;26;3;379;5;0;0;0;0;;;dez-11
VILA SONIA;1.477;1.203;1.611;1.987;127;371;0;0;24;8;744;19;0;0;0;0;;;dez-11
AGUA RASA;879;742;870;1.254;66;147;0;0;3;4;416;1;0;0;0;0;;;mar-12
ALTO DE PINHEIROS;385;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;;;mar-12
ANHANGUERA;1.297;1.487;2.785;3.103;130;428;0;0;15;1;1.242;8;0;0;0;0;;;mar-12
ARICANDUVA;1.253;742;1.395;1.884;88;253;0;0;11;4;600;11;0;0;0;0;;;mar-12
ARTUR ALVIM;2.225;1.984;2.028;2.424;0;92;0;0;14;7;1.198;14;0;0;0;0;;;mar-12
BARRA FUNDA;379;0;0;0;0;0;0;0;4;0;122;0;0;0;0;0;;;mar-12
BELA VISTA;1.474;701;371;466;0;259;0;0;6;4;289;2;0;0;0;0;;;mar-12
BELEM;972;532;372;318;0;0;0;0;55;5;213;8;0;0;0;0;;;mar-12
BOM RETIRO;802;670;0;0;0;0;0;0;45;10;304;3;0;0;0;0;;;mar-12
BRAS;692;406;0;0;0;0;0;0;0;0;565;41;0;0;0;0;;;mar-12
BRASILANDIA;7.922;6.270;8.022;8.724;379;2.372;0;0;82;44;3.698;102;0;0;0;0;;;mar-12
BUTANTA;585;630;1.030;1.456;239;654;0;0;2;2;148;5;0;0;0;0;;;mar-12
CACHOEIRINHA;2.669;2.173;2.791;3.097;88;475;0;0;12;9;1.754;1;0;0;0;0;;;mar-12
CAMBUCI;307;499;0;0;211;434;0;0;1;5;184;10;0;0;0;0;;;mar-12
CAMPO BELO;908;286;737;1.274;61;257;0;0;1;0;356;1;0;0;0;0;;;mar-12
CAMPO GRANDE;877;1.306;1.763;2.805;186;577;0;0;1;3;546;82;0;0;0;0;;;mar-12
CAMPO LIMPO;3.619;5.152;6.989;8.172;436;1.796;0;0;22;88;5.388;150;0;0;0;0;;;mar-12
CANGAIBA;2.123;2.841;1.913;2.450;193;745;0;0;7;14;2.340;56;0;0;0;0;;;mar-12
CAPAO REDONDO;3.661;5.048;8.178;8.921;804;2.492;0;0;13;56;6.307;1.221;0;0;0;0;;;mar-12
CARRAO;1.873;759;902;1.098;0;0;0;0;9;1;376;0;0;0;0;0;;;mar-12
CASA VERDE;1.161;998;994;1.292;61;313;0;0;4;4;684;2;0;0;0;0;;;mar-12
CIDADE ADEMAR;3.867;3.601;2.972;3.369;276;758;0;0;27;79;5.308;809;0;0;0;0;;;mar-12
CIDADE DUTRA;5.804;4.329;5.496;6.469;340;1.333;0;0;13;13;3.273;192;0;0;0;0;;;mar-12
CIDADE LIDER;2.643;2.778;2.824;3.276;377;1.124;0;0;15;9;1.197;13;0;0;0;0;;;mar-12
CIDADE TIRADENTES;9.182;6.259;10.982;12.583;261;1.149;543;0;142;11;1.170;23;0;0;0;0;;;mar-12
CONSOLACAO;222;531;0;0;0;0;0;0;2;1;106;1;0;0;0;0;;;mar-12
CURSINO;475;895;637;869;46;208;0;0;1;1;736;5;0;0;0;0;;;mar-12
ERMELINO MATARAZZO;1.901;1.993;1.086;1.522;193;618;0;0;10;3;1.407;30;0;0;0;0;;;mar-12
FREGUESIA DO O;2.582;2.611;2.407;2.647;103;624;0;0;10;5;1.093;16;0;0;0;0;;;mar-12
GRAJAU;8.013;7.435;6.181;7.038;542;1.862;0;0;25;16;6.577;1.580;0;0;0;0;;;mar-12
GUAIANASES;4.506;2.429;1.590;1.793;420;675;0;0;74;3;410;7;0;0;0;0;;;mar-12
IGUATEMI;2.700;3.575;6.174;6.766;157;592;0;0;16;12;2.815;67;0;0;0;0;;;mar-12
IPIRANGA;1.450;1.303;659;797;113;285;0;0;17;2;1.231;1;0;0;0;0;;;mar-12
ITAIM BIBI;359;404;421;691;0;133;0;0;0;2;193;4;0;0;0;0;;;mar-12
ITAIM PAULISTA;5.132;5.218;5.536;6.038;189;967;0;0;36;43;3.415;181;0;0;0;0;;;mar-12
ITAQUERA;5.518;4.053;2.588;3.132;176;709;0;0;37;11;2.032;10;0;0;0;0;;;mar-12
JABAQUARA;3.829;3.289;2.507;3.084;159;505;0;0;5;20;2.447;89;0;0;0;0;;;mar-12
JACANA;1.896;2.128;1.434;1.863;88;273;0;0;6;12;1.299;22;0;0;0;0;;;mar-12
JAGUARA;675;455;558;764;59;229;0;0;0;2;516;18;0;0;0;0;;;mar-12
JAGUARE;1.316;713;679;674;75;153;0;0;10;4;528;4;0;0;0;0;;;mar-12
JARAGUA;4.955;5.236;8.622;9.749;493;1.590;336;0;25;30;3.552;35;0;0;0;0;;;mar-12
JARDIM ANGELA;5.096;5.472;5.641;6.488;352;1.509;0;0;26;231;6.022;1.566;0;0;0;0;;;mar-12
JARDIM HELENA;3.190;3.207;4.584;5.366;70;911;0;0;37;43;2.339;71;0;0;0;0;;;mar-12
JARDIM PAULISTA;113;143;0;0;0;0;0;0;0;0;46;0;0;0;0;0;;;mar-12
JARDIM SAO LUIS;6.293;4.793;5.365;6.134;378;1.076;0;0;25;96;4.967;164;0;0;0;0;;;mar-12
JOSE BONIFACIO;2.709;2.514;2.449;2.926;29;255;0;0;58;2;927;3;0;0;0;0;;;mar-12
LAJEADO;7.406;4.296;3.253;3.838;119;760;0;0;78;16;1.196;170;0;0;0;0;;;mar-12
LAPA;370;947;0;0;0;0;0;0;0;5;223;7;0;0;0;0;;;mar-12
LIBERDADE;781;45;250;339;0;0;0;0;1;0;247;2;0;0;0;0;;;mar-12
LIMAO;854;1.198;704;780;30;148;0;0;7;0;514;1;0;0;0;0;;;mar-12
MANDAQUI;1.535;1.574;1.438;1.854;156;389;0;0;13;6;948;8;0;0;0;0;;;mar-12
MARSILAC;109;59;0;0;0;0;0;0;0;0;34;6;0;0;0;0;;;mar-12
MOEMA;373;491;220;250;0;0;0;0;0;2;112;0;0;0;0;0;;;mar-12
MOOCA;804;564;252;333;59;150;0;0;3;3;239;1;0;0;0;0;;;mar-12
MORUMBI;558;372;334;547;21;60;0;0;3;1;309;1;0;0;0;0;;;mar-12
PARELHEIROS;4.282;3.503;2.692;2.301;257;774;0;0;4;29;2.146;134;0;0;0;0;;;mar-12
PARI;357;154;253;310;0;0;0;0;1;0;241;45;0;0;0;0;;;mar-12
PARQUE DO CARMO;1.837;1.131;573;779;0;0;0;0;29;1;454;12;0;0;0;0;;;mar-12
PEDREIRA;2.269;2.409;3.208;4.404;81;1.022;0;0;7;18;2.733;282;0;0;0;0;;;mar-12
PENHA;2.016;888;338;352;0;0;0;0;17;2;708;1;0;0;0;0;;;mar-12
PERDIZES;518;249;276;317;0;0;0;0;12;1;159;0;0;0;0;0;;;mar-12
PERUS;2.169;2.020;3.670;4.260;172;576;0;0;18;8;1.234;48;0;0;0;0;;;mar-12
PINHEIROS;359;265;289;365;0;0;0;0;0;0;211;0;0;0;0;0;;;mar-12
PIRITUBA;2.254;2.182;2.802;3.856;209;851;319;0;32;14;1.340;43;0;0;0;0;;;mar-12
PONTE RASA;1.227;1.332;2.016;2.660;70;459;0;0;7;3;891;26;0;0;0;0;;;mar-12
RAPOSO TAVARES;2.853;2.405;3.879;4.340;77;497;0;0;4;3;1.214;10;0;0;0;0;;;mar-12
REPUBLICA;14;271;0;0;0;0;0;0;0;0;5;2;0;0;0;0;;;mar-12
RIO PEQUENO;2.469;1.926;2.698;3.370;84;335;0;0;22;1;1.168;5;0;0;0;0;;;mar-12
SACOMA;4.620;4.156;4.838;5.689;358;1.044;0;0;22;7;2.682;6;0;0;0;0;;;mar-12
SANTA CECILIA;1.430;345;0;0;0;0;0;0;13;1;441;4;0;0;0;0;;;mar-12
SANTANA;1.252;736;884;1.417;0;88;1.105;584;7;2;547;2;0;0;0;0;;;mar-12
SANTO AMARO;391;273;562;1.057;58;325;159;0;0;0;262;0;0;0;0;0;;;mar-12
SAO DOMINGOS;986;1.129;2.305;2.843;66;316;0;0;6;2;655;3;0;0;0;0;;;mar-12
SAO LUCAS;1.137;1.800;2.720;3.330;86;356;0;0;6;4;469;1;0;0;0;0;;;mar-12
SAO MATEUS;2.541;2.737;2.998;3.756;198;1.128;0;0;9;7;1.966;44;0;0;0;0;;;mar-12
SAO MIGUEL;2.190;1.713;2.955;3.806;141;691;330;0;8;9;776;25;0;0;0;0;;;mar-12
SAO RAFAEL;3.261;3.776;4.248;4.879;223;812;0;0;5;22;2.553;34;0;0;0;0;;;mar-12
SAPOPEMBA;5.553;5.367;7.889;9.551;411;1.249;413;0;33;20;4.005;80;0;0;0;0;;;mar-12
SAUDE;881;486;145;307;59;161;0;0;2;0;394;6;0;0;0;0;;;mar-12
SE;88;93;499;428;66;112;0;0;0;0;206;21;0;0;0;0;;;mar-12
SOCORRO;535;822;832;1.280;44;221;0;0;0;1;148;13;0;0;0;0;;;mar-12
TATUAPE;651;786;627;995;63;439;0;0;1;6;266;13;0;0;0;0;;;mar-12
TREMEMBE;1.959;3.359;3.401;3.935;349;772;0;0;4;15;3.322;100;0;0;0;0;;;mar-12
TUCURUVI;435;655;929;1.212;0;0;0;0;0;2;326;1;0;0;0;0;;;mar-12
VILA ANDRADE;1.081;1.209;2.124;2.108;168;557;0;0;1;38;1.631;29;0;0;0;0;;;mar-12
VILA CURUCA;3.218;3.844;5.216;5.984;30;513;0;0;21;9;1.847;118;0;0;0;0;;;mar-12
VILA FORMOSA;1.150;1.397;713;916;0;132;0;0;8;1;678;0;0;0;0;0;;;mar-12
VILA GUILHERME;769;565;795;978;32;171;0;0;1;2;218;11;0;0;0;0;;;mar-12
VILA JACUI;3.307;3.620;3.479;4.358;75;209;0;0;14;5;1.560;30;0;0;0;0;;;mar-12
VILA LEOPOLDINA;254;376;462;582;59;148;0;0;8;4;110;6;0;0;0;0;;;mar-12
VILA MARIA;2.158;2.512;2.706;3.006;30;274;0;0;18;18;1.380;36;0;0;0;0;;;mar-12
VILA MARIANA;559;723;195;232;0;0;0;0;0;0;383;1;0;0;0;0;;;mar-12
VILA MATILDE;1.245;845;2.015;2.631;94;391;0;0;5;1;545;19;0;0;0;0;;;mar-12
VILA MEDEIROS;2.711;1.939;1.577;1.912;306;980;0;0;28;11;1.074;45;0;0;0;0;;;mar-12
VILA PRUDENTE;1.726;1.026;971;1.068;54;190;0;0;2;1;481;6;0;0;0;0;;;mar-12
VILA SONIA;1.518;1.270;1.561;2.018;108;218;0;0;11;7;1.023;46;0;0;0;0;;;mar-12
AGUA RASA;880;741;881;1.277;79;148;0;0;1;2;506;3;0;0;0;0;;;jun-12
ALTO DE PINHEIROS;385;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;;;jun-12
ANHANGUERA;1.312;1.503;2.818;3.117;122;432;0;0;4;4;1.466;3;0;0;0;0;;;jun-12
ARICANDUVA;1.259;745;1.433;1.920;88;256;0;0;3;0;731;4;0;0;0;0;;;jun-12
ARTUR ALVIM;2.232;1.992;2.052;2.420;0;90;0;0;10;3;1.407;8;0;0;0;0;;;jun-12
BARRA FUNDA;384;0;0;0;0;0;0;0;2;0;148;0;0;0;0;0;;;jun-12
BELA VISTA;1.471;430;387;487;0;262;0;0;5;3;372;7;0;0;0;0;;;jun-12
BELEM;1.021;514;360;314;0;0;0;0;10;3;281;0;0;0;0;0;;;jun-12
BOM RETIRO;820;678;0;0;0;0;0;0;19;4;357;4;0;0;0;0;;;jun-12
BRAS;692;397;0;0;0;0;0;0;0;0;659;40;0;0;0;0;;;jun-12
BRASILANDIA;8.103;6.326;8.096;8.754;395;2.533;0;0;67;17;4.374;98;0;0;0;0;;;jun-12
BUTANTA;589;650;1.024;1.449;236;675;0;0;1;0;219;2;0;0;0;0;;;jun-12
CACHOEIRINHA;3.017;2.195;2.858;3.122;92;518;0;0;16;5;1.985;0;0;0;0;0;;;jun-12
